name,description,unit_cost,currency
Handmade Leather Wallet,"Full-grain bifold leather wallet, vegetable-tanned",68.00,USD
Organic Cotton T-Shirt,"100% organic cotton crew neck, unisex",32.00,USD
Insulated Water Bottle 24oz,Double-wall vacuum insulated stainless steel bottle,38.00,USD
Merino Wool Beanie,Lightweight 100% merino wool knit beanie,28.00,USD
Canvas Tote Bag,"12oz heavyweight canvas tote, reinforced straps",24.00,USD
Recycled Polyester Hoodie,"Pullover hoodie, 80% recycled polyester / 20% cotton",72.00,USD
Trail Running Socks,Cushioned merino blend crew socks (pair),18.00,USD
Bamboo Sunglasses,Polarized sunglasses with bamboo frame,55.00,USD
Camp Mug 12oz,Enamel-coated steel camp mug,16.00,USD
Pocket Notebook (3-pack),"Soft-cover pocket notebooks, 48 pages each",14.00,USD
Waxed Canvas Backpack,20L waxed canvas roll-top backpack,145.00,USD
Cork Yoga Mat,Cork-surface yoga mat with natural rubber base,78.00,USD
Stainless Pour-Over Set,Pour-over coffee dripper with reusable steel filter,48.00,USD
Hemp Crew Socks,Breathable hemp blend everyday crew socks (pair),14.00,USD
Cedar Garden Planter,Untreated cedar 12in raised planter box,42.00,USD
Beeswax Food Wraps (3pk),Reusable organic cotton + beeswax food wraps,22.00,USD
Trail Map Print 12x18,"Letterpress trail map print, archival paper",36.00,USD
Pour-Over Coffee Beans,"12oz whole-bean light roast, single origin",21.00,USD
Travel Toiletry Pouch,Water-resistant waxed canvas dopp kit,52.00,USD
Reusable Produce Bags (5),"Mesh produce bags with drawstrings, set of 5",16.00,USD
