expense_id,date,vendor,category,description,amount,tax_amount,currency,payment_method,is_billable,notes
EXP-5009,2025-05-18,USPS,Shipping & Postage,First-class & priority shipping,185.58,0.00,USD,Business Credit Card,no,
EXP-5002,2025-05-18,UPS,Shipping & Postage,Outbound shipping labels,268.98,0.00,USD,Business Credit Card,no,
EXP-5020,2025-05-19,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,692.88,0.00,USD,Business Credit Card,no,
EXP-5025,2025-05-20,Uline Packaging,Packaging & Supplies,"Boxes, mailers, void fill",1667.14,0.00,USD,ACH,no,
EXP-5010,2025-05-20,USPS,Shipping & Postage,First-class & priority shipping,116.71,0.00,USD,Business Credit Card,no,
EXP-5024,2025-05-20,Cedar Mill Lumber Co,Cost of Goods Sold,Cedar planter material,1890.03,0.00,USD,Business Credit Card,no,
EXP-5004,2025-05-20,UPS,Shipping & Postage,Outbound shipping labels,462.76,0.00,USD,Business Credit Card,no,
EXP-5016,2025-05-20,Stripe Fees,Bank & Processor Fees,Card processing fees,192.82,0.00,USD,Business Credit Card,no,
EXP-5019,2025-05-21,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,3549.86,0.00,USD,Business Credit Card,no,
EXP-5011,2025-05-22,USPS,Shipping & Postage,First-class & priority shipping,91.01,0.00,USD,Business Credit Card,no,
EXP-5021,2025-05-22,Google Ads,Advertising & Marketing,Search & shopping ads,2195.46,0.00,USD,Business Credit Card,no,
EXP-5015,2025-05-23,Klaviyo,Software & Subscriptions,Email marketing platform,271.47,0.00,USD,Business Credit Card,no,
EXP-5029,2025-05-23,Hartford Business Insurance,Insurance,Annual business policy,340.00,0.00,USD,ACH,no,
EXP-5014,2025-05-23,ShipStation,Software & Subscriptions,Monthly subscription,36.44,0.00,USD,Business Credit Card,no,
EXP-5001,2025-05-24,UPS,Shipping & Postage,Outbound shipping labels,317.78,0.00,USD,Business Credit Card,no,
EXP-5022,2025-05-24,TikTok Ads,Advertising & Marketing,Paid social campaign,230.74,0.00,USD,Business Credit Card,no,
EXP-5018,2025-05-25,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,1857.88,0.00,USD,Business Credit Card,no,
EXP-5013,2025-05-26,FedEx,Shipping & Postage,Express shipments,191.65,0.00,USD,Business Credit Card,no,
EXP-5026,2025-05-26,WeWork Studio Space,Rent,Monthly studio rent,1850.00,0.00,USD,ACH,no,
EXP-5012,2025-05-27,FedEx,Shipping & Postage,Express shipments,398.37,0.00,USD,Business Credit Card,no,
EXP-5017,2025-05-27,PayPal Fees,Bank & Processor Fees,Processing fees,253.33,0.00,USD,Business Credit Card,no,
EXP-5028,2025-05-27,AT&T Business,Utilities,Business internet & phone,138.81,0.00,USD,ACH,no,
EXP-5003,2025-05-27,UPS,Shipping & Postage,Outbound shipping labels,54.54,0.00,USD,Business Credit Card,no,
EXP-5023,2025-05-27,Adobe Creative Cloud,Software & Subscriptions,Design software subscription,69.62,0.00,USD,Business Credit Card,no,
EXP-5008,2025-05-28,USPS,Shipping & Postage,First-class & priority shipping,112.34,0.00,USD,Business Credit Card,no,
EXP-5072,2025-06-02,Meta Ads,Advertising & Marketing,Facebook & Instagram ad spend,1914.03,0.00,USD,Business Credit Card,no,
EXP-5070,2025-06-03,PayPal Fees,Bank & Processor Fees,Processing fees,72.03,0.00,USD,Business Credit Card,no,
EXP-5087,2025-06-04,Uline Packaging,Packaging & Supplies,"Boxes, mailers, void fill",1276.92,0.00,USD,Business Credit Card,no,
EXP-5052,2025-06-04,USPS,Shipping & Postage,First-class & priority shipping,150.17,0.00,USD,Business Credit Card,no,
EXP-5076,2025-06-05,Google Ads,Advertising & Marketing,Search & shopping ads,316.60,0.00,USD,Business Credit Card,no,
EXP-5033,2025-06-06,UPS,Shipping & Postage,Outbound shipping labels,247.82,0.00,USD,Business Credit Card,no,
EXP-5069,2025-06-06,PayPal Fees,Bank & Processor Fees,Processing fees,314.95,0.00,USD,Business Credit Card,no,
EXP-5046,2025-06-06,USPS,Shipping & Postage,First-class & priority shipping,236.15,0.00,USD,Business Credit Card,no,
EXP-5095,2025-06-07,California Franchise Tax Board,Taxes,Quarterly estimated tax,1312.50,0.00,USD,ACH,no,
EXP-5062,2025-06-07,Shopify,Software & Subscriptions,Monthly storefront subscription,215.52,0.00,USD,Business Credit Card,no,
EXP-5030,2025-06-10,UPS,Shipping & Postage,Outbound shipping labels,333.33,0.00,USD,Business Credit Card,no,
EXP-5081,2025-06-11,AWS,Software & Subscriptions,Cloud hosting & storage,309.14,0.00,USD,Business Credit Card,no,
EXP-5036,2025-06-12,UPS,Shipping & Postage,Outbound shipping labels,275.15,0.00,USD,Business Credit Card,no,
EXP-5051,2025-06-12,USPS,Shipping & Postage,First-class & priority shipping,196.48,0.00,USD,Business Credit Card,no,
EXP-5055,2025-06-13,FedEx,Shipping & Postage,Express shipments,158.75,0.00,USD,Business Credit Card,no,
EXP-5091,2025-06-13,Pacific Gas & Electric,Utilities,Studio utilities,196.45,0.00,USD,ACH,no,
EXP-5043,2025-06-13,USPS,Shipping & Postage,First-class & priority shipping,40.01,0.00,USD,Business Credit Card,no,
EXP-5059,2025-06-13,FedEx,Shipping & Postage,Express shipments,249.47,0.00,USD,Business Credit Card,no,
EXP-5090,2025-06-13,WeWork Studio Space,Rent,Monthly studio rent,1850.00,0.00,USD,ACH,no,
EXP-5084,2025-06-13,Northern Leather Supply,Cost of Goods Sold,Leather raw material order,1341.91,0.00,USD,ACH,no,
EXP-5041,2025-06-14,USPS,Shipping & Postage,First-class & priority shipping,195.14,0.00,USD,Business Credit Card,no,
